id,number,title,state,created_at,updated_at,closed_at,assignee,milestone,html_url,refatoracao,testes_regressao,prioridade,tempo_resolucao_dias
2459139522,40713,"Heads-up: Projects (classic) will be sunset on August 23, 2024. Only cards that have been updated in the last year will be migrated.",closed,2024-08-10 15:39:48+00:00,2024-08-11 13:09:00+00:00,2024-08-11 09:58:51+00:00,,,https://github.com/twbs/bootstrap/issues/40713,False,False,média,0
2458561144,40712,Test,closed,2024-08-09 19:43:25+00:00,2024-08-11 13:08:38+00:00,2024-08-10 07:24:18+00:00,,,https://github.com/twbs/bootstrap/pull/40712,False,True,média,0
2456337536,40709,Use gap property for flex box grid gutter,closed,2024-08-08 17:54:56+00:00,2024-11-15 06:10:59+00:00,2024-11-15 06:10:59+00:00,,,https://github.com/twbs/bootstrap/issues/40709,False,False,média,98
2453948491,40707,data-bs-* attributes not working in Toast Component in v5.3.3 and v5.0.2,closed,2024-08-07 17:08:05+00:00,2024-08-08 09:21:38+00:00,2024-08-08 09:20:30+00:00,,,https://github.com/twbs/bootstrap/issues/40707,False,False,média,0
2453188538,40704,Docs: Tweak some links,closed,2024-08-07 10:55:10+00:00,2024-08-13 12:32:59+00:00,2024-08-13 12:32:54+00:00,,,https://github.com/twbs/bootstrap/pull/40704,False,False,média,6
2452943558,40703,Docs: Update WCAG links and references,closed,2024-08-07 08:55:24+00:00,2024-08-07 10:11:09+00:00,2024-08-07 10:11:07+00:00,,,https://github.com/twbs/bootstrap/pull/40703,False,False,média,0
2451646845,40701,Add jQuery 4 compatibility to the bootstrap 3x branch,closed,2024-08-06 20:33:34+00:00,2024-11-13 05:03:04+00:00,2024-08-07 05:02:23+00:00,,,https://github.com/twbs/bootstrap/issues/40701,False,False,média,0
2450371768,40699,Build(deps-dev): Bump hugo-bin from 0.127.0 to 0.128.0,closed,2024-08-06 09:14:20+00:00,2024-08-13 09:11:07+00:00,2024-08-13 09:11:05+00:00,,,https://github.com/twbs/bootstrap/pull/40699,False,False,média,6
2450371167,40698,Build(deps-dev): Bump stylelint from 16.7.0 to 16.8.1,closed,2024-08-06 09:14:03+00:00,2024-08-13 12:39:16+00:00,2024-08-13 12:39:14+00:00,,,https://github.com/twbs/bootstrap/pull/40698,False,False,média,7
2450370718,40697,Build(deps-dev): Bump autoprefixer from 10.4.19 to 10.4.20,closed,2024-08-06 09:13:50+00:00,2024-08-13 12:40:10+00:00,2024-08-13 12:40:08+00:00,,,https://github.com/twbs/bootstrap/pull/40697,False,False,média,7
2450370403,40696,Build(deps-dev): Bump rollup from 4.19.1 to 4.20.0,closed,2024-08-06 09:13:41+00:00,2024-08-13 12:39:49+00:00,2024-08-13 12:39:45+00:00,,,https://github.com/twbs/bootstrap/pull/40696,False,False,média,7
2450322589,40695,Fix light mode carousel in dark mode,closed,2024-08-06 08:53:15+00:00,2024-12-19 07:23:59+00:00,2024-12-19 07:23:57+00:00,,,https://github.com/twbs/bootstrap/pull/40695,False,False,média,134
2448844096,40693,Bootstrap Cross-Site Scripting (XSS) vulnerability,closed,2024-08-05 15:29:10+00:00,2024-08-06 05:37:40+00:00,2024-08-06 05:37:35+00:00,,,https://github.com/twbs/bootstrap/issues/40693,False,False,média,0
2448577023,40692,Cross-Site Scripting (XSS) vulnerability - CVE-2024-6484,closed,2024-08-05 13:33:20+00:00,2024-08-13 09:29:51+00:00,2024-08-05 13:54:06+00:00,,,https://github.com/twbs/bootstrap/issues/40692,False,False,média,0
2447675858,40691,"Docs: add `aria-hidden=""true""` to decorative SVGs",closed,2024-08-05 06:02:29+00:00,2024-08-05 07:02:00+00:00,2024-08-05 07:01:59+00:00,,,https://github.com/twbs/bootstrap/pull/40691,False,False,média,0
2447131266,40690,tst c1,closed,2024-08-04 13:15:20+00:00,2024-08-04 13:15:59+00:00,2024-08-04 13:15:59+00:00,,,https://github.com/twbs/bootstrap/pull/40690,False,False,média,0
2445918480,40689,Docs: change wording of single/split danger buttons,closed,2024-08-03 00:43:45+00:00,2024-08-07 04:51:05+00:00,2024-08-07 04:51:04+00:00,,,https://github.com/twbs/bootstrap/pull/40689,False,False,média,4
2444211218,40686,docs: add `aria-hidden='true'` to decorative SVGs,closed,2024-08-02 06:53:20+00:00,2024-08-02 08:18:31+00:00,2024-08-02 08:18:29+00:00,,,https://github.com/twbs/bootstrap/pull/40686,False,False,média,0
2443951688,40685,`npm audit` reports moderate XSS vulnerability with bootstrap 4.6.2,closed,2024-08-02 03:53:58+00:00,2024-08-06 05:51:34+00:00,2024-08-02 05:04:02+00:00,,,https://github.com/twbs/bootstrap/issues/40685,False,False,média,0
2438397793,40681,Dark-mode with <nav> element not working,closed,2024-07-30 18:06:02+00:00,2024-07-31 05:23:37+00:00,2024-07-31 05:23:23+00:00,,,https://github.com/twbs/bootstrap/issues/40681,False,False,média,0
2437317183,40680,Build(deps-dev): Bump karma from 6.4.3 to 6.4.4,closed,2024-07-30 09:08:22+00:00,2024-07-30 09:13:45+00:00,2024-07-30 09:13:43+00:00,,,https://github.com/twbs/bootstrap/pull/40680,False,False,média,0
2437316757,40679,Build(deps-dev): Bump @babel/preset-env from 7.25.0 to 7.25.2,closed,2024-07-30 09:08:10+00:00,2024-07-30 09:13:12+00:00,2024-07-30 09:13:08+00:00,,,https://github.com/twbs/bootstrap/pull/40679,False,False,média,0
2437316271,40678,Build(deps-dev): Bump @babel/core from 7.24.9 to 7.25.2,closed,2024-07-30 09:07:56+00:00,2024-08-13 12:33:24+00:00,2024-08-13 12:33:22+00:00,,,https://github.com/twbs/bootstrap/pull/40678,False,False,média,14
2435582268,40676,Build(deps-dev): Bump stylelint from 16.7.0 to 16.8.0,closed,2024-07-29 14:27:37+00:00,2024-07-30 09:15:04+00:00,2024-07-30 09:14:56+00:00,,,https://github.com/twbs/bootstrap/pull/40676,False,False,média,0
2433244203,40673,Update devDependencies and regenerate package-lock.json,closed,2024-07-27 04:49:20+00:00,2024-07-29 14:26:04+00:00,2024-07-29 14:26:02+00:00,,,https://github.com/twbs/bootstrap/pull/40673,False,False,média,2
2433222163,40672,Update masthead wording,closed,2024-07-27 04:07:51+00:00,2024-07-30 05:30:12+00:00,2024-07-30 05:30:11+00:00,,,https://github.com/twbs/bootstrap/pull/40672,False,False,média,3
2432760524,40671,RTL alignment problems: navbar-nav and navbar-brand,closed,2024-07-26 18:17:47+00:00,2024-07-30 17:10:10+00:00,2024-07-30 17:10:09+00:00,,,https://github.com/twbs/bootstrap/issues/40671,False,False,média,3
2430440711,40666,T,closed,2024-07-25 16:09:30+00:00,2024-07-26 04:59:02+00:00,2024-07-25 16:16:30+00:00,,,https://github.com/twbs/bootstrap/issues/40666,False,False,média,0
2428924691,40665,"Hmm @mdo, my last comment seems to have been that snarky it filled out your brain so you couldn't think of anything else and it made you miss the point :) :) :)",closed,2024-07-25 03:54:06+00:00,2024-07-25 03:54:30+00:00,2024-07-25 03:54:25+00:00,,,https://github.com/twbs/bootstrap/issues/40665,False,False,média,0
